Name,Description,Units,Yearly,Monthly,Daily,PFT,Compartments,Layers,Data Type,Placeholder
FRONTSTYPE,Front types,unitless,y,m,,invalid,invalid,l,int,
GPP,GPP,g/m2/time,,,invalid,,,invalid,double,
GROWEND,Growing ending day,DOY,,invalid,invalid,invalid,invalid,invalid,int,
GROWSTART,Growing starting day,DOY,,invalid,invalid,invalid,invalid,invalid,int,
HKDEEP,Hydraulic conductivity in amorphous layer,mm/day,,,,invalid,invalid,invalid,double,
HKLAYER,Hydraulic conductivity by layer,mm/day,y,m,invalid,invalid,invalid,l,double,
HKMINEA,Hydraulic conductivity top mineral,mm/day,,,,invalid,invalid,invalid,double,
HKMINEB,Hydraulic conductivity middle mineral,mm/day,,,,invalid,invalid,invalid,double,
HKMINEC,Hydraulic conductivity bottom mineral,mm/day,,,,invalid,invalid,invalid,double,
HKSHLW,Hydraulic conductivity in fibrous layer,mm/day,,,,invalid,invalid,invalid,double,
INGPP,GPP without N limitation,g/m2/time,,,invalid,,,invalid,double,
INNPP,NPP witout N limitation,g/m2/time,,,invalid,,,invalid,double,
INNUPTAKE,Unlimited N uptake by plants. N uptake by happy plants when N is not limited.,g/m2/time,,,invalid,,invalid,invalid,double,
IWCLAYER,IWC by layer,m3/m3,,,invalid,invalid,invalid,,double,
LAI,LAI,m2/m2,y,m,invalid,,invalid,invalid,double,
LATERALDRAINAGE,Qdrain per layer,mm,y,m,,invalid,invalid,l,double,
LAYERDEPTH,Layer depth from the surface,,y,m,invalid,invalid,invalid,l,double,
LAYERDZ,Thickness of layer,,y,m,invalid,invalid,invalid,l,double,
LAYERTYPE,0:moss 1:shlw 2:deep 3:mineral,,y,m,invalid,invalid,invalid,l,int,
LTRFALC,Litterfall C,g/m2/time,,,invalid,,,invalid,double,
LTRFALN,Litterfall N,g/m2/time,,,invalid,,,invalid,double,
LWCLAYER,LWC by layer,m3/m3,y,m,invalid,invalid,invalid,l,double,
MINEC,Mineral SOM C,g/m2,,,invalid,invalid,invalid,invalid,double,
MOSSDEATHC,Moss death carbon,,,,invalid,invalid,invalid,invalid,double,
MOSSDEATHN,Moss death nitrogen,,,,invalid,invalid,invalid,invalid,double,
MOSSDZ,Moss thickness,m,,invalid,invalid,invalid,invalid,invalid,double,
NDRAIN,N losses from drainage (AVLN),g/m2/time,invalid,invalid,invalid,invalid,invalid,invalid,double,
NETNMIN,Soil net N mineralization,g/m2/time,,,invalid,invalid,invalid,,double,
NIMMOB,Nitrogen immobilization,g/m2/time,,,invalid,invalid,invalid,,double,
NINPUT,N inputs into soil (AVLN),g/m2/time,,,invalid,invalid,invalid,invalid,double,
NLOST,N losses from soil (AVLN),g/m2/time,,,invalid,invalid,invalid,invalid,double,
NPP,NPP,g/m2/time,y,m,invalid,,,invalid,double,
NRESORB,NRESORB,??,,,invalid,,,invalid,double,
NUPTAKELAB,Labile N uptake by plants,g/m2/time,,,invalid,,invalid,invalid,double,
NUPTAKEST,Structural N uptake by plants,g/m2/time,,,invalid,,,invalid,double,
ORGN,Total soil organic N,g/m2,,,invalid,invalid,invalid,,double,
PERCOLATION,percolation,,y,m,,invalid,invalid,l,double,
PERMAFROST,Permafrost (1 or 0),,y,invalid,invalid,invalid,invalid,invalid,int,
PET,Potential ET,mm/m2/time,y,m,,,invalid,invalid,double,
QDRAINAGE,Water drainage quotient (~ratio),,y,m,invalid,invalid,invalid,invalid,double,
QINFILTRATION,Water infiltration quotient (~ratio),,y,m,invalid,invalid,invalid,invalid,double,
QRUNOFF,Water runoff quotient (~ratio),,y,m,invalid,invalid,invalid,invalid,double,
RAINFALL,Total rainfall,mm,,,invalid,invalid,invalid,invalid,double,
RG,Growth respiration,g/m2/time,,,invalid,,,invalid,double,
RH,Heterotrophic respiration,g/m2/time,y,m,invalid,invalid,invalid,l,double,
RM,Maintenance respiration,g/m2/time,,,invalid,,,invalid,double,
ROLB,Relative organic layer burned ratio C,g/g,,,invalid,invalid,invalid,invalid,double,
ROOTWATERUPTAKE,Water uptake by roots per layer,,y,m,,invalid,invalid,l,double,
SHLWC,Fibrous SOM C,g/m2,,,invalid,invalid,invalid,invalid,double,
SHLWDZ,Fibrous SOM layer thickness,m,,invalid,invalid,invalid,invalid,invalid,double,
SNOWEND,DOY of last snow fall,DOY,,invalid,invalid,invalid,invalid,invalid,int,
SNOWFALL,Total snowfall,mm,y,m,invalid,invalid,invalid,invalid,double,
SNOWSTART,DOY of first snow fall,DOY,,invalid,invalid,invalid,invalid,invalid,int,
SNOWTHICK,Snow pack thickness,m,y,m,,invalid,invalid,invalid,double,
SOMA,Soil organic C active,g/m2,,,invalid,invalid,invalid,,double,
SOMCR,Soil organic C chemically resistant,g/m2,,,invalid,invalid,invalid,,double,
SOMPR,Soil organic C physically resistant,g/m2,,,invalid,invalid,invalid,,double,
SOMRAWC,Soil organic C raw,g/m2,,,invalid,invalid,invalid,,double,
SWE,Snow water equivalent,kg/m2,y,m,,invalid,invalid,invalid,double,
TCDEEP,Thermal conductivity in amorphous layer,W/m/K,,,,invalid,invalid,invalid,double,
TCLAYER,Thermal conductivity by layer,W/m/K,y,m,invalid,invalid,invalid,l,double,
TCMINEA,Thermal conductivity top mineral,W/m/K,,,,invalid,invalid,invalid,double,
TCMINEB,Thermal conductivity middle mineral,W/m/K,,,,invalid,invalid,invalid,double,
TCMINEC,Thermal conductivity bottom mineral,W/m/K,,,,invalid,invalid,invalid,double,
TCSHLW,Thermal conductivity in fibrous layer,W/m/K,,,,invalid,invalid,invalid,double,
TDEEP,Temperature in amorphous layer,degree_C,,,,invalid,invalid,invalid,double,
TLAYER,Temperature by layer,degree_C,y,m,invalid,invalid,invalid,l,double,
TMINEA,Temperature top mineral,degree_C,,,,invalid,invalid,invalid,double,
TMINEB,Temperature middle mineral,degree_C,,,,invalid,invalid,invalid,double,
TMINEC,Temperature bottom mineral,degree_C,,,,invalid,invalid,invalid,double,
TRANSPIRATION,Transpiration,mm/day,,,,invalid,invalid,invalid,double,
TSHLW,Temperature in fibrous layer,degree_C,,,,invalid,invalid,invalid,double,
VEGC,Total veg. biomass C,g/m2,,,invalid,,,invalid,double,
VEGN,Total veg. biomass N,g/m2,,,invalid,,,invalid,double,
VWCDEEP,VWC in amorphous layer,m3/m3,,,,invalid,invalid,invalid,double,
VWCLAYER,VWC by layer,m3/m3,y,m,invalid,invalid,invalid,l,double,
VWCMINEA,VWC top mineral,m3/m3,,,,invalid,invalid,invalid,double,
VWCMINEB,VWC middle mineral,m3/m3,,,,invalid,invalid,invalid,double,
VWCMINEC,VWC bottom mineral,m3/m3,,,,invalid,invalid,invalid,double,
VWCSHLW,VWC in fibrous layer,m3/m3,,,,invalid,invalid,invalid,double,
WATERTAB,Water table depth below surface,m,y,m,,invalid,invalid,invalid,double,
WDRH,Dead woody debris HR,g/m2/time,,,invalid,invalid,invalid,invalid,double,
YSD,Years since last disturbance,Years,,invalid,invalid,invalid,invalid,invalid,int,
